ID,Wymaganie
1,1. Format - adres posiadający znak '@' oraz '.' w odpowiedniej kolejności.
2,2. Unikalny mail nie może wystąpić wraz z istniejącą już w aplikacji nazwą użytkownika.
3,3. Format - brak znaków diakrytycznych.
4,4. Format - czy można używać symboli ???
5,"- tak, ale nie jako pierwszy znak w adresie"
6,5. Format - czy wielkość liter ma znaczenie ??
7,- nie
8,6. Format - czy można użyć cyfr ????
9,- tak
10,7. Jaka jest dozwolona ilość znaków dla całego adresu ?
11,8. Jaka jest dozwolona ilość znaków dla poszczególnych części adresu ?
12,9. Nieprawidłowy format- brak '@' albo brak '.'
13,10. Istniejący w bazie mail.
14,11. Unikalny mail występuje wraz z unikalną nazwą użytkownika.
15,12. Brak maila.
16,13. Prawidłowy adres mailowy składający się z jednego znaku w nazwie skrzynki i jednego znaku jako nazwa domeny (a@w.com).
